id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,question_ja,choice_yes_ja,choice_yes_pattern,choice_no_ja,choice_no_pattern,teaching_prompt_disabled
100,ひげ,ひげ,,,このひげ？これが好きなの？,,,,body_hige,1,1,,,,Random,,,0,false,,10,false,,,,,,true
100,ひげ,ひげ,,,これは繊細な部分だから、急に触ったりしないでね。,,,,body_hige,1,2,,,,Random,,,0,false,,10,false,,,,,,true
101,にくきゅう,(にくきゅう|あしうら),,,肉球ね。{{PLAYER_CALLING}}ここ好きだよねえ。,,,,body_pad,1,1,,,,Random,,0,0,false,,10,false,,,,,,
101,にくきゅう,(にくきゅう|あしうら),,,地面に接する所だし、そんなに綺麗じゃないよ？,,,,body_pad,1,2,,,,Random,,0,0,false,,10,false,,,,,,
101,にくきゅう,(にくきゅう|あしうら),,,まあ、触りたいなら止めないよ。,,,,body_pad,1,3,,,,Random,,0,0,false,,10,false,,,,,,
102,あし,(あし),,,足が好きなの？……だから踏まれて喜んでたの？,,,,body_foot,1,1,,,,Random,,0,0,false,,20,false,,,,,,true
102,あし,(あし),,,今は{{PLAYER_CALLING}}ちっちゃいし、踏んであげられないけど。触るのは好きにしてね。,,,,body_foot,1,2,,,,Random,,0,0,false,,20,false,,,,,,true
103,て,て,,,手？前足のこと？なるほど。,,,,body_hand,1,1,,,,Random,,0,0,false,,20,false,,,,,,true
103,て,て,,,{{PLAYER_CALLING}}の手みたいに器用には動かせないけど……,,,,body_hand,1,2,,,,Random,,0,0,false,,20,false,,,,,,true
103,て,て,,,ちょっと練習して、少しだけ物を掴めるようになったんだよ！,,,,body_hand,1,3,,,,Random,,0,0,false,,20,false,,,,,,true
104,くち,(くち|こうない),,,口が好きなの？……ふーん。,,,,body_mouth,1,1,,,,Random,,0,0,false,,20,false,,,,,,
104,くち,(くち|こうない),,,近くで見ていいけど、中には入らないでね。,,,,body_mouth,1,2,,,,Random,,0,0,false,,20,false,,,,,,
104,くち,(くち|こうない),,,あと、あくびする時には見せてあげるね！,,,,body_mouth,1,3,,,,Random,,0,0,false,,20,false,,,,,,
104,くち,(くち|こうない),,,まあ、そうだろうねえ。,,,,body_mouth,2,1,,,PlayerDefeatedByPredation,Random,,0,0,false,,20,false,,,,,,
104,くち,(くち|こうない),,,そこまで好きなら止めないよ。頼んだらいつでも入れてあげる。,,,,body_mouth,2,2,,,PlayerDefeatedByPredation,Random,,0,0,false,,20,false,,,,,,
104,しっぽ,しっぽ,,,尻尾が好きなの？それなら聞きたいことがあるんだけど。,,,,body_tail,1,1,,,,Random,,0,0,false,,20,false,,,,,,
104,しっぽ,しっぽ,,,{{CAT_PRONOUN}}の尻尾、2本に分かれてるのってどう思う？,,,,body_tail,1,2,Choice,,,Random,,0,0,false,,20,false,,いいと思う,2,イマイチ……,3,
104,しっぽ,しっぽ,,,そうかな？{{PLAYER_CALLING}}がそう言ってくれるなら自信持てるかも！ありがとうね！,,,,body_tail,2,1,,,,Random,,0,0,false,,20,true,,,,,,
104,しっぽ,しっぽ,,,うぅ……やっぱりそうだよね……。,,,,body_tail,3,1,,,,Random,,0,0,false,,20,true,,,,,,
104,しっぽ,しっぽ,,,でも今更どうにかできる訳じゃないから、尻尾のことはあまり気にしないようにしてくれる？,,,,body_tail,3,2,,,,Random,,0,0,false,,20,true,,,,,,
105,あくび,あくび,,,あくびが気になるの？どうして？,,,,body_yawn,1,1,,,,Random,,0,0,false,,10,false,,,,,,
105,あくび,あくび,,,まあ、見たいなら見ていいよ。減るものじゃないし。,,,,body_yawn,1,2,,,,Random,,0,0,false,,10,false,,,,,,
106,胃袋,(胃袋|いぶくろ),,,胃袋って？,,,,body_stomach,1,1,,,,Random,,0,0,false,,10,false,,,,,,
106,胃袋,(胃袋|いぶくろ),,,……{{CAT_PRONOUN}}の食べたものが溜まる、お腹の中の部分？何でそんなところが好きなの？？,,,,body_stomach,1,2,,,,Random,,0,0,false,,10,false,,,,,,
106,胃袋,(胃袋|いぶくろ),,,まあ、わざわざ食べてって頼んでくるぐらいだもんね。,,,,body_stomach,2,1,,,PlayerDefeatedByPredation,Random,,0,0,false,,10,false,,,,,,
106,胃袋,(胃袋|いぶくろ),,,なんで胃袋が好きなの？餌と同じように溶けちゃうのにさ。,,,,body_stomach,2,2,,,PlayerDefeatedByPredation,Random,,0,0,false,,10,false,,,,,,
107,腸,(腸|しょうちょう|だいちょう),,,腸って何？,,,,body_intestine,1,1,,,,Random,,0,0,false,,10,false,,,,,,
107,腸,(腸|しょうちょう|だいちょう),,,{{CAT_PRONOUN}}の身体の中で、食べた食べ物が行き着く場所？,,,,body_intestine,1,2,,,,Random,,0,0,false,,10,false,,,,,,
107,腸,(腸|しょうちょう|だいちょう),,,えー、どんな感じなんだろう。自分の体の中のことなんて考えたこともなかった。,,,,body_intestine,1,3,,,,Random,,0,0,false,,10,false,,,,,,
107,腸,(腸|しょうちょう|だいちょう),,,……そりゃそうでしょ。そこが好きっていう{{PLAYER_CALLING}}のことはなおさら分からないけど。,,,,body_intestine,1,4,,,,Random,,0,0,false,,10,false,,,,,,
107,腸,(腸|しょうちょう|だいちょう),,,まあそりゃ、わざわざ食べてって頼んでくるくらいだもんね。,,,,body_intestine,2,1,,,PlayerDefeatedByPredation,Random,,0,0,false,,10,false,,,,,,
107,腸,(腸|しょうちょう|だいちょう),,,どうなの？{{CAT_PRONOUN}}に食べられたら胃の中に入るけど、腸の中も見られるの？,,,,body_intestine,2,2,,,PlayerDefeatedByPredation,Random,,0,0,false,,10,false,,,,,,
108,おしり,おしり,,,{{CAT_PRONOUN}}のお尻が好きなの？昔もお尻をよく見てたよね。また近くで見せてあげようか？,,,,body_hip,1,1,,,,Random,,0,0,false,,10,false,,,,,,
108,おしり,おしり,,,……いや、{{CAT_PRONOUN}}は恥じらいを覚えてしまいましたので、それはやめておこうかな……。,,,,body_hip,1,2,,,,Random,,0,0,false,,10,false,,,,,,
109,みみ,みみ,,,{{CAT_PRONOUN}}の耳が好きなの？{{PLAYER_CALLING}}の耳とは形が全然違うよね！,,,,body_ear,1,1,,,,Random,,0,0,false,,10,false,,,,,,
109,みみ,みみ,,,{{PLAYER_CALLING}}の耳は全然動かないけど、どうやって後ろの音を聞くの？,,,,body_ear,1,2,,,,Random,,0,0,false,,10,false,,,,,,
109,みみ,みみ,,,自由に動かせたほうが絶対便利だって！,,,,body_ear,1,3,,,,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,へ、へんたい！,,,,body_testicles,1,1,,,,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,好きだとしても、面と向かって言わないでよ！,,,,body_testicles,1,2,,,,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,……何でそんなところが好きなの？,,,,body_testicles,2,1,,,CatSex == Male,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,人間のじゃダメなの？ふーん……,,,,body_testicles,2,2,,,CatSex == Male,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,見る分には別にいいけど、触るのはやめてよね。,,,,body_testicles,2,3,,,CatSex == Male,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,それって、オスに付いてるやつだっけ？{{CAT_PRONOUN}}にはないよ！,,,,body_testicles,3,1,,,CatSex == Female,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,何でそんなところが好きなの？,,,,body_testicles,3,2,,,CatSex == Female,Random,,0,0,false,,10,false,,,,,,
110,きんたま,(きんたま|たまぶくろ|こうがん),,,可愛いから？……可愛いって言えばセクハラじゃないと思ってるのかな？,,,,body_testicles,3,3,,,CatSex == Female,Random,,0,0,false,,10,false,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
