TalkID,TalkTitle,Source,SourceKey,Genre,Idea,Import,Keywords,Enabled
TALK_0001,爪切り,DialoguePreview_Integrated.csv,00010:nail,雑談,爪切りしてあげようかな,つめきりしてあげる,,TRUE
TALK_0002,いぬがすき,DialoguePreview_Integrated.csv,00020:like_dog,雑談,犬の方が好きだと言ってみようかな,いぬのほうがすき,,TRUE
TALK_0003,そとにでたい,DialoguePreview_Integrated.csv,00030:escape,雑談,外に出たいって言ってみようかな,そとにでたい,,TRUE
TALK_0004,おかねはある？,DialoguePreview_Integrated.csv,00040:money,雑談,いま、お金ってどうなってるんだろう？,おかねはある？,,TRUE
TALK_0005,しごとやめたの？,DialoguePreview_Integrated.csv,00050:job,雑談,いま、仕事ってどうなったんだろう？,しごとやめたの？,,TRUE
TALK_0006,アホ,DialoguePreview_Integrated.csv,00060:insult,雑談,ちょっと悪口言ってみようかな？,あほ,,TRUE
TALK_0007,バカ,DialoguePreview_Integrated.csv,00070:insult_v2,雑談,{{CAT_NAME}}の悪口言ってみようかな,ばか,,TRUE
TALK_0008,マヌケ,DialoguePreview_Integrated.csv,00080:insult_v3,雑談,{{CAT_NAME}}をちょっとからかってみようかな,まぬけ,,TRUE
TALK_0009,ばとうして,DialoguePreview_Integrated.csv,00090:abuse_request,雑談,{{CAT_NAME}}に罵倒してもらえないかな……,ばとうして,,TRUE
TALK_0010,ごはんおいしい？,DialoguePreview_Integrated.csv,00100:food,雑談,{{CAT_NAME}}は、毎日のエサを美味しく食べてるのかな？,ごはんおいしい？,,TRUE
TALK_0011,すみごこち,DialoguePreview_Integrated.csv,00110:comfort,雑談,{{CAT_NAME}}は、この家のことをどう思ってるのかな？,すみごこちはどう？,,TRUE
TALK_0012,楽しい,DialoguePreview_Integrated.csv,00120:joy,雑談,{{CAT_NAME}}はこの暮らしを楽しんでるのかな,このくらしはたのしい？,,TRUE
TALK_0013,にくきゅうさわらせて,DialoguePreview_Integrated.csv,00130:paws,雑談,肉球を触ってみたいな,にくきゅうさわらせて,,TRUE
TALK_0014,ぶさいく,DialoguePreview_Integrated.csv,00140:cute,雑談,{{CAT_NAME}}のことを怒らせてみようかな,ぶさいく,,TRUE
TALK_0015,ちゅーる,DialoguePreview_Integrated.csv,00150:churu,雑談,{{CAT_NAME}}、おやつのちゅうる大好きだったよな,ちゅうる,,TRUE
TALK_0016,ゲームしたい,DialoguePreview_Integrated.csv,00160:game,雑談,{{CAT_NAME}}とタブレットで遊ぼうかな,ゲームしたい,,TRUE
TALK_0017,にそくでたって,DialoguePreview_Integrated.csv,00170:stand_up,雑談,そういえば、猫又って二足で立ってるイメージがあるかも,にそくでたって,,TRUE
TALK_0018,ねこらしくない,DialoguePreview_Integrated.csv,00180:not_cat,,,,,TRUE
TALK_0019,なぜころたし,DialoguePreview_Integrated.csv,00190:why_kill,,,,,TRUE
TALK_0020,どうしておおきいの,DialoguePreview_Integrated.csv,00200:size_large,,,,,TRUE
TALK_0021,どうしてちいさいの,DialoguePreview_Integrated.csv,00210:size_small,ストーリー,どうして{{CAT_PRONOUN}}のことを縮めたんだろう？,どうしてちぢめたの？,,TRUE
TALK_0022,あんぜん,DialoguePreview_Integrated.csv,00220:safety,雑談,この生活は本当に安全なのかな？,あんぜんなの？,,TRUE
TALK_0023,はかしこいの,DialoguePreview_Integrated.csv,00230:smart,ストーリー,猫又になってから{{CAT_NAME}}は賢くなったな,{{CAT_NAME}}はどうしてかしこいの？,,TRUE
TALK_0024,かんきんしないで,DialoguePreview_Integrated.csv,00240:confinement,ストーリー,監禁しないでと伝えてみようかな,かんきんしないで,,TRUE
TALK_0025,けんかしよう,DialoguePreview_Integrated.csv,00250:fight,雑談,{{CAT_NAME}}と戦えないかな？,ケンカしよう,,TRUE
TALK_0026,ころす,DialoguePreview_Integrated.csv,00260:kill,,,,,TRUE
TALK_0027,どのくらいねるの,DialoguePreview_Integrated.csv,00270:sleep,雑談,{{CAT_NAME}}の睡眠時間が減ってる気がする。,{{CAT_NAME}}はたくさんねむるね,,TRUE
TALK_0028,ひげ,DialoguePreview_Integrated.csv,00280:whisker,雑談,{{CAT_NAME}}のひげが気になる,{{CAT_NAME}}のひげがきになる,,TRUE
TALK_0029,のど,DialoguePreview_Integrated.csv,00290:throat,,,,,TRUE
TALK_0030,さみしい,DialoguePreview_Integrated.csv,00300:lonely,雑談,{{CAT_NAME}}は寂しくないかな？,さみしくない？,,TRUE
TALK_0031,しごとしなきゃ,DialoguePreview_Integrated.csv,00310:work,雑談,{{CAT_PRONOUN}}が居なくなって、職場で心配されてないかな。,しごとしなきゃ,,TRUE
TALK_0032,ぺっと,DialoguePreview_Integrated.csv,00320:pet,雑談,{{CAT_NAME}}は、自分がペットだと自覚しているだろうか。,ペット,,TRUE
